image_index,model_type,category,hpsv2_score,aesthetics_score,background_mse,clip_text_image,dinov2_similarity
12,TF-ICON,Real-Sketch,0.43588846921920776,5.683765411376953,0.010540200264980915,0.3261856138706207,0.16381314396858215
13,Photoshop,Real-Sketch,0.2924180328845978,5.576070308685303,0.0004258886645287782,0.25204628705978394,0.4133943021297455
13,TF-ICON,Real-Sketch,0.29337483644485474,5.86013650894165,0.007653515851995255,0.2532038986682892,0.4133943021297455
14,Photoshop,Real-Sketch,0.3098941147327423,5.674936294555664,0.00041917336420996834,0.21619091928005219,0.21267731487751007
14,TF-ICON,Real-Sketch,0.28690123558044434,5.398678779602051,0.006229674074683065,0.21862797439098358,0.21267731487751007
15,Photoshop,Real-Sketch,0.31952664256095886,5.574605941772461,0.00041790834674190844,0.22959411144256592,0.35324734449386597
15,TF-ICON,Real-Sketch,0.3179197609424591,5.748337268829346,0.006859433075959733,0.2565285265445709,0.35324734449386597
16,Photoshop,Real-Sketch,0.39158958196640015,5.390195846557617,0.001335495232470508,0.3226117193698883,0.20179703831672668
16,TF-ICON,Real-Sketch,0.40089523792266846,5.298089981079102,0.010983567772147528,0.30837056040763855,0.20179703831672668
17,Photoshop,Real-Sketch,0.3538532853126526,5.303135871887207,0.000494673092003299,0.3745233416557312,0.159422367811203
17,TF-ICON,Real-Sketch,0.3285629451274872,5.192970275878906,0.0038778092627726095,0.26990169286727905,0.159422367811203
18,Photoshop,Real-Sketch,0.38754552602767944,4.974295139312744,0.00175200735662477,0.33180123567581177,0.29774850606918335
18,TF-ICON,Real-Sketch,0.4038039743900299,5.620214462280273,0.013499236395355902,0.32234007120132446,0.29774850606918335
19,Photoshop,Real-Sketch,0.39551395177841187,5.637572288513184,0.0006195196924613696,0.3311922252178192,0.08755026757717133
19,TF-ICON,Real-Sketch,0.41397544741630554,5.607582092285156,0.007323693070196216,0.31257328391075134,0.08755026757717133
20,Photoshop,Real-Sketch,0.4123276472091675,5.554941177368164,0.0031844144199622624,0.37168368697166443,0.1974918246269226
20,TF-ICON,Real-Sketch,0.4273117780685425,5.913385391235352,0.01297401485779443,0.34022101759910583,0.1974918246269226
21,Photoshop,Real-Sketch,0.2977999448776245,5.519926071166992,0.0004971674820541314,0.2938336133956909,0.3619319498538971
21,TF-ICON,Real-Sketch,0.343367338180542,5.517973899841309,0.003935889835813106,0.317008376121521,0.3619319498538971
22,Photoshop,Real-Sketch,0.3933100700378418,4.898962497711182,0.0017514054237245716,0.34652459621429443,0.18725138902664185
22,TF-ICON,Real-Sketch,0.39868468046188354,5.104683876037598,0.01374625791854754,0.3322678208351135,0.18725138902664185
23,Photoshop,Real-Sketch,0.30691277980804443,5.531844615936279,0.0003911962491873318,0.22206753492355347,0.27298155426979065
23,TF-ICON,Real-Sketch,0.281634122133255,5.697612762451172,0.022665670689287987,0.21312713623046875,0.27298155426979065
24,Photoshop,Real-Sketch,0.347051203250885,5.125698566436768,0.0004972889863438517,0.333141028881073,0.19686856865882874
24,TF-ICON,Real-Sketch,0.29270103573799133,5.2484869956970215,0.004086529933360785,0.27518224716186523,0.19686856865882874
25,Photoshop,Real-Sketch,0.40359875559806824,5.214934349060059,0.0016918095426188093,0.34818169474601746,0.3042536973953247
25,TF-ICON,Real-Sketch,0.3893573582172394,5.778721809387207,0.0140818659012574,0.32109588384628296,0.3042536973953247
26,Photoshop,Real-Sketch,0.40533435344696045,5.388003349304199,0.0019289683265351861,0.3329697251319885,0.23044191300868988
